Date,Fremont Bridge West Sidewalk,Fremont Bridge East Sidewalk
9/1/2015,1393,1483
9/2/2015,1745,1867
9/3/2015,1532,1627
9/4/2015,1425,1512
9/5/2015,826,770
9/6/2015,466,425
9/7/2015,1107,898
9/8/2015,1733,1932
9/9/2015,2070,2243
9/10/2015,1961,2069
9/11/2015,1863,1898
9/12/2015,1178,1013
9/13/2015,648,679
9/14/2015,1615,1669
9/15/2015,1795,1862
9/16/2015,1782,1949
9/17/2015,1160,1293
9/18/2015,1461,1539
9/19/2015,981,853
9/20/2015,712,591
9/21/2015,1824,1981
9/22/2015,2190,2361
9/23/2015,2270,2292
9/24/2015,2086,2235
9/25/2015,1314,1370
9/26/2015,899,869
9/27/2015,895,676
9/28/2015,1907,1955
9/29/2015,2097,2239
9/30/2015,1992,2063
