Date,Fremont Bridge West Sidewalk,Fremont Bridge East Sidewalk,
10/3/2012,1760,1761,Wednesday
10/4/2012,1708,1767,
10/5/2012,1558,1590,
10/6/2012,1080,926,
10/7/2012,1191,951,
10/8/2012,1829,1708,
10/9/2012,1759,1742,
10/10/2012,1648,1587,
10/11/2012,1579,1468,
10/12/2012,1022,989,
10/13/2012,415,351,
10/14/2012,427,271,
10/15/2012,1200,1073,
10/16/2012,1559,1477,
10/17/2012,1647,1596,
10/18/2012,1449,1474,
10/19/2012,965,1012,
10/20/2012,586,482,
10/21/2012,540,449,
10/22/2012,1088,1041,
10/23/2012,1263,1237,
10/24/2012,1250,1179,
10/25/2012,1361,1352,
10/26/2012,1039,1034,
10/27/2012,289,242,
10/28/2012,611,451,
10/29/2012,1146,1071,
10/30/2012,912,823,
10/31/2012,883,827,
11/1/2012,1061,1030,
11/2/2012,1345,1133,
11/3/2012,513,439,
11/4/2012,548,463,
11/5/2012,1430,1380,
11/6/2012,1287,1206,
11/7/2012,1406,1313,
11/8/2012,1355,1336,
11/9/2012,1251,1155,
11/10/2012,685,584,
11/11/2012,327,301,
11/12/2012,839,792,
11/13/2012,1050,1037,
11/14/2012,1294,1306,
11/15/2012,1304,1216,
11/16/2012,1023,983,
11/17/2012,348,292,
11/18/2012,219,173,
11/19/2012,475,492,
11/20/2012,884,857,
11/21/2012,668,702,
11/22/2012,325,229,
11/23/2012,168,187,
11/24/2012,448,397,
11/25/2012,566,452,
11/26/2012,1180,1178,
11/27/2012,1301,1246,
11/28/2012,1022,1012,
11/29/2012,954,890,
11/30/2012,786,804,
12/1/2012,338,296,
12/2/2012,294,233,
12/3/2012,932,936,
12/4/2012,1021,990,
12/5/2012,1180,1120,
12/6/2012,955,924,
12/7/2012,906,910,
12/8/2012,471,403,
12/9/2012,217,205,
12/10/2012,1070,1092,
12/11/2012,994,951,
12/12/2012,919,929,
12/13/2012,1047,966,
12/14/2012,894,815,
12/15/2012,258,205,
12/16/2012,202,149,
12/17/2012,747,745,
12/18/2012,862,840,
12/19/2012,496,524,
12/20/2012,526,551,
12/21/2012,605,627,
12/22/2012,263,230,
12/23/2012,253,188,
12/24/2012,304,270,
12/25/2012,50,48,
12/26/2012,430,415,
12/27/2012,573,575,
12/28/2012,631,626,
12/29/2012,249,238,
12/30/2012,375,320,
12/31/2012,546,440,
1/1/2013,344,334,
1/2/2013,904,931,
1/3/2013,890,913,
1/4/2013,836,876,
1/5/2013,403,316,
1/6/2013,392,314,
1/7/2013,968,925,
1/8/2013,781,797,
1/9/2013,697,650,
1/10/2013,935,875,
1/11/2013,804,766,
1/12/2013,341,336,
1/13/2013,335,224,
1/14/2013,934,935,
1/15/2013,1065,1001,
1/16/2013,970,980,
1/17/2013,883,894,
1/18/2013,810,775,
1/19/2013,421,339,
1/20/2013,467,334,
1/21/2013,644,632,
1/22/2013,984,981,
1/23/2013,896,871,
1/24/2013,1003,952,
1/25/2013,925,936,
1/26/2013,286,258,
1/27/2013,358,285,
1/28/2013,877,831,
1/29/2013,910,879,
1/30/2013,873,887,
1/31/2013,974,947,
2/1/2013,1092,1016,
2/2/2013,645,488,
2/3/2013,477,391,
2/4/2013,1174,1114,
2/5/2013,1030,982,
2/6/2013,1016,979,
2/7/2013,1115,1072,
2/8/2013,1119,1042,
2/9/2013,627,487,
2/10/2013,735,577,
2/11/2013,1076,1069,
2/12/2013,1082,1023,
2/13/2013,1050,1016,
2/14/2013,980,904,
2/15/2013,1206,1098,
2/16/2013,573,444,
2/17/2013,471,398,
2/18/2013,758,723,
2/19/2013,1333,1253,
2/20/2013,1142,1075,
2/21/2013,952,939,
2/22/2013,670,690,
2/23/2013,603,523,
2/24/2013,605,517,
2/25/2013,1077,1009,
2/26/2013,1253,1244,
2/27/2013,1163,1171,
2/28/2013,874,885,
3/1/2013,924,921,
